 INFO [2020-10-06 18:17:05,228] ({main} RemoteInterpreterServer.java[main]:261) - URL:jar:file:/zeppelin/lib/interpreter/zeppelin-interpreter-0.8.1.jar!/org/apache/zeppelin/interpreter/remote/RemoteInterpreterServer.class
 INFO [2020-10-06 18:17:05,658] ({main} RemoteInterpreterServer.java[<init>]:162) - Launching ThriftServer at 172.17.0.2:35851
 INFO [2020-10-06 18:17:05,743] ({main} RemoteInterpreterServer.java[<init>]:166) - Starting remote interpreter server on port 35851
 INFO [2020-10-06 18:17:05,758] ({Thread-0} RemoteInterpreterServer.java[run]:203) - Starting remote interpreter server on port 35851
 INFO [2020-10-06 18:17:06,805] ({Thread-1} RemoteInterpreterUtils.java[registerInterpreter]:165) - callbackHost: 172.17.0.2, callbackPort: 40633, callbackInfo: CallbackInfo(host:172.17.0.2, port:35851)
 INFO [2020-10-06 18:17:07,796] ({pool-1-thread-1} RemoteInterpreterServer.java[createInterpreter]:311) - Instantiate interpreter org.apache.zeppelin.python.PythonInterpreter
 INFO [2020-10-06 18:17:07,934] ({pool-1-thread-1} RemoteInterpreterServer.java[createInterpreter]:311) - Instantiate interpreter org.apache.zeppelin.python.IPythonInterpreter
 INFO [2020-10-06 18:17:07,944] ({pool-1-thread-1} RemoteInterpreterServer.java[createInterpreter]:311) - Instantiate interpreter org.apache.zeppelin.python.PythonInterpreterPandasSql
 INFO [2020-10-06 18:17:07,996] ({pool-1-thread-1} RemoteInterpreterServer.java[createInterpreter]:311) - Instantiate interpreter org.apache.zeppelin.python.PythonCondaInterpreter
 INFO [2020-10-06 18:17:08,019] ({pool-1-thread-1} RemoteInterpreterServer.java[createInterpreter]:311) - Instantiate interpreter org.apache.zeppelin.python.PythonDockerInterpreter
 WARN [2020-10-06 18:17:08,381] ({pool-1-thread-1} ZeppelinConfiguration.java[create]:117) - Failed to load configuration, proceeding with a default
 INFO [2020-10-06 18:17:08,559] ({pool-1-thread-1} ZeppelinConfiguration.java[create]:129) - Server Host: 0.0.0.0
 INFO [2020-10-06 18:17:08,561] ({pool-1-thread-1} ZeppelinConfiguration.java[create]:131) - Server Port: 8080
 INFO [2020-10-06 18:17:08,563] ({pool-1-thread-1} ZeppelinConfiguration.java[create]:135) - Context Path: /
 INFO [2020-10-06 18:17:08,580] ({pool-1-thread-1} ZeppelinConfiguration.java[create]:136) - Zeppelin Version: 0.8.1
 INFO [2020-10-06 18:17:08,582] ({pool-1-thread-1} SchedulerFactory.java[<init>]:59) - Scheduler Thread Pool Size: 100
 INFO [2020-10-06 18:17:08,650] ({pool-2-thread-4} SchedulerFactory.java[jobStarted]:114) - Job 20200226-234351_1863175723 started by scheduler org.apache.zeppelin.python.PythonInterpreter1576715040
 INFO [2020-10-06 18:17:11,595] ({pool-1-thread-3} IPythonInterpreter.java[checkIPythonPrerequisite]:198) - IPython prerequisite is met
 INFO [2020-10-06 18:17:11,602] ({pool-1-thread-3} IPythonInterpreter.java[open]:135) - Python Exec: python
 INFO [2020-10-06 18:17:12,237] ({pool-1-thread-3} IPythonInterpreter.java[checkIPythonPrerequisite]:198) - IPython prerequisite is met
 INFO [2020-10-06 18:17:12,242] ({pool-1-thread-3} IPythonInterpreter.java[open]:146) - Launching IPython Kernel at port: 33997
 INFO [2020-10-06 18:17:12,245] ({pool-1-thread-3} IPythonInterpreter.java[open]:147) - Launching JVM Gateway at port: 41053
 INFO [2020-10-06 18:17:13,251] ({pool-1-thread-3} IPythonInterpreter.java[setupIPythonEnv]:319) - PYTHONPATH:/zeppelin/interpreter/python/py4j-0.9.2/src
