 INFO [2020-10-02 18:51:20,969] ({main} RemoteInterpreterServer.java[main]:261) - URL:jar:file:/zeppelin/lib/interpreter/zeppelin-interpreter-0.8.1.jar!/org/apache/zeppelin/interpreter/remote/RemoteInterpreterServer.class
 INFO [2020-10-02 18:51:21,449] ({main} RemoteInterpreterServer.java[<init>]:162) - Launching ThriftServer at 172.17.0.2:37199
 INFO [2020-10-02 18:51:21,528] ({main} RemoteInterpreterServer.java[<init>]:166) - Starting remote interpreter server on port 37199
 INFO [2020-10-02 18:51:21,583] ({Thread-0} RemoteInterpreterServer.java[run]:203) - Starting remote interpreter server on port 37199
 INFO [2020-10-02 18:51:22,648] ({Thread-1} RemoteInterpreterUtils.java[registerInterpreter]:165) - callbackHost: 172.17.0.2, callbackPort: 38447, callbackInfo: CallbackInfo(host:172.17.0.2, port:37199)
 INFO [2020-10-02 18:51:23,553] ({pool-1-thread-1} RemoteInterpreterServer.java[createInterpreter]:311) - Instantiate interpreter org.apache.zeppelin.python.PythonInterpreter
 INFO [2020-10-02 18:51:23,575] ({pool-1-thread-1} RemoteInterpreterServer.java[createInterpreter]:311) - Instantiate interpreter org.apache.zeppelin.python.IPythonInterpreter
 INFO [2020-10-02 18:51:23,585] ({pool-1-thread-1} RemoteInterpreterServer.java[createInterpreter]:311) - Instantiate interpreter org.apache.zeppelin.python.PythonInterpreterPandasSql
 INFO [2020-10-02 18:51:23,612] ({pool-1-thread-1} RemoteInterpreterServer.java[createInterpreter]:311) - Instantiate interpreter org.apache.zeppelin.python.PythonCondaInterpreter
 INFO [2020-10-02 18:51:23,624] ({pool-1-thread-1} RemoteInterpreterServer.java[createInterpreter]:311) - Instantiate interpreter org.apache.zeppelin.python.PythonDockerInterpreter
 WARN [2020-10-02 18:51:23,930] ({pool-1-thread-3} ZeppelinConfiguration.java[create]:117) - Failed to load configuration, proceeding with a default
 INFO [2020-10-02 18:51:24,036] ({pool-1-thread-3} ZeppelinConfiguration.java[create]:129) - Server Host: 0.0.0.0
 INFO [2020-10-02 18:51:24,038] ({pool-1-thread-3} ZeppelinConfiguration.java[create]:131) - Server Port: 8080
 INFO [2020-10-02 18:51:24,040] ({pool-1-thread-3} ZeppelinConfiguration.java[create]:135) - Context Path: /
 INFO [2020-10-02 18:51:24,060] ({pool-1-thread-3} ZeppelinConfiguration.java[create]:136) - Zeppelin Version: 0.8.1
 INFO [2020-10-02 18:51:24,065] ({pool-1-thread-3} SchedulerFactory.java[<init>]:59) - Scheduler Thread Pool Size: 100
